date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
27-02-2024,759522,藍妹,藍妹啤酒大罐裝 4 X 500ML,500ML,啤酒,51,51,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/%E8%97%8D%E5%A6%B9%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101326603.html,wellcome
27-02-2024,058008,K1664,K1664白啤酒 大罐裝 4 X 500ML,500ML,啤酒,72,72,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/K1664%E7%99%BD%E5%95%A4%E9%85%92%20%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101350611.html,wellcome
27-02-2024,288480,青島,青島純生大罐啤酒 4 X 500ML,500ML,啤酒,25,25,3件$63,None,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9D%92%E5%B3%B6%E7%B4%94%E7%94%9F%E5%A4%A7%E7%BD%90%E5%95%A4%E9%85%92%204%20X%20500ML/i/101325696.html,wellcome
27-02-2024,198085,瑪特堡蘇維翁,瑪特堡蘇維翁白酒原箱 6 X 750ML,750ML,白酒,300,588,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%91%AA%E7%89%B9%E5%A0%A1%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/102993646.html,wellcome
27-02-2024,169243,生力,生力清啤罐裝 4 X 500ML,500ML,清啤,37,37,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%94%9F%E5%8A%9B%E6%B8%85%E5%95%A4%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101352421.html,wellcome
27-02-2024,221572,布萊特,布萊特 罐裝啤酒原箱 24 X 330 ML,330ML,啤酒,60,60,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%B8%83%E8%90%8A%E7%89%B9%20%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%92%E5%8E%9F%E7%AE%B1%2024%20X%20330%20ML/i/113557329.html,wellcome
27-02-2024,499558,奔富,奔富 Bin8赤霞珠切粒子紅酒 750ML,750ML,紅酒,158,220,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%20Bin8%E8%B5%A4%E9%9C%9E%E7%8F%A0%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%20750ML/i/101352485.html,wellcome
27-02-2024,665075,奔富冠蘭山系列,奔富冠蘭山系列 赤霞珠紅酒原箱 6 X 750ML,750ML,紅酒,310,966,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%E5%86%A0%E8%98%AD%E5%B1%B1%E7%B3%BB%E5%88%97%20%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113438278.html,wellcome
27-02-2024,477653,格蘭堡,格蘭堡水墨系列 切粒子紅酒 750ML,750ML,紅酒,130,130,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1%E6%B0%B4%E5%A2%A8%E7%B3%BB%E5%88%97%20%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%20750ML/i/102802821.html,wellcome
27-02-2024,169557,史丹尼,史丹尼傳統乾紅酒 4LT,4LT,紅酒,75,145,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%8F%B2%E4%B8%B9%E5%B0%BC%E5%82%B3%E7%B5%B1%E4%B9%BE%E7%B4%85%E9%85%92%204LT/i/102120016.html,wellcome
27-02-2024,066175,獅威,獅威啤酒大罐裝 4 X 500ML,500ML,啤酒,25,25,3件$63,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%8D%85%E5%A8%81%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101361487.html,wellcome
27-02-2024,223198,雪花,雪花啤酒大罐裝 4 X 500ML,500ML,啤酒,18,18,2件$30,None,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9B%AA%E8%8A%B1%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101343059.html,wellcome
27-02-2024,059311,青島,青島大罐裝啤酒 4 X 500ML,500ML,啤酒,28,36,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9D%92%E5%B3%B6%E5%A4%A7%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%92%204%20X%20500ML/i/101337838.html,wellcome
27-02-2024,387977,青島,青島純生大樽裝啤酒 640ML,640ML,啤酒,9,9,3件$18,None,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9D%92%E5%B3%B6%E7%B4%94%E7%94%9F%E5%A4%A7%E6%A8%BD%E8%A3%9D%E5%95%A4%E9%85%92%20640ML/i/101324246.html,wellcome
27-02-2024,565077,喜力,喜力啤酒大罐裝 4 X 500ML,500ML,啤酒,28,34.90,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%96%9C%E5%8A%9B%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101329761.html,wellcome
27-02-2024,239970,蠔灣蘇維翁,蠔灣蘇維翁白酒原箱 6 X 750ML,750ML,白酒,418,786,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E8%A0%94%E7%81%A3%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/102993606.html,wellcome
27-02-2024,568402,史丹尼,史丹尼莎當尼白酒 4LT,4LT,白酒,75,145,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%8F%B2%E4%B8%B9%E5%B0%BC%E8%8E%8E%E7%95%B6%E5%B0%BC%E7%99%BD%E9%85%92%204LT/i/101327071.html,wellcome
27-02-2024,100578,布萊特,布萊特啤酒罐裝 12 X 330ML,330ML,啤酒,33,33,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%B8%83%E8%90%8A%E7%89%B9%E5%95%A4%E9%85%92%E7%BD%90%E8%A3%9D%2012%20X%20330ML/i/101334643.html,wellcome
27-02-2024,757583,奔富,奔富 BIN2 原箱 6 X 750ML,750ML,紅酒,730,1350,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%20BIN2%20%E5%8E%9F%E7%AE%B1%20%206%20X%20750ML/i/113403853.html,wellcome
27-02-2024,665851,藍冰,藍冰啤酒大罐裝 4 X 500ML,500ML,啤酒,23,23,3件$60,None,0,https://www.wellcome.com.hk/zh-hant/p/%E8%97%8D%E5%86%B0%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101329000.html,wellcome
27-02-2024,048413,奔富冠蘭山系列,奔富冠蘭山系列 切粒子紅酒原箱 6 X 750ML,750ML,紅酒,310,966,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%E5%86%A0%E8%98%AD%E5%B1%B1%E7%B3%BB%E5%88%97%20%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113438273.html,wellcome
27-02-2024,696153,奔富,奔富 Bin389赤霞珠切粒子紅酒 750ML,750ML,紅酒,738,738,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%20Bin389%E8%B5%A4%E9%9C%9E%E7%8F%A0%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%20750ML/i/101334623.html,wellcome
27-02-2024,648139,佳樂事,佳樂事紅酒盒裝原箱 4 X 3LT,3LT,紅酒,300,432,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E4%BD%B3%E6%A8%82%E4%BA%8B%E7%B4%85%E9%85%92%E7%9B%92%E8%A3%9D%E5%8E%9F%E7%AE%B1%204%20X%203LT/i/113323773.html,wellcome
27-02-2024,500819,嘉士伯,嘉士伯啤酒大罐裝 4 X 500ML,500ML,啤酒,34,34,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%98%89%E5%A3%AB%E4%BC%AF%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101328731.html,wellcome
27-02-2024,636787,麒麟,麒麟一番搾大罐裝 4 X 500ML,500ML,啤酒,47,47,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/%E9%BA%92%E9%BA%9F%E4%B8%80%E7%95%AA%E6%90%BE%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101360365.html,wellcome
27-02-2024,197921,奔富,奔富 St Henri 750ML,750ML,紅酒,498,880,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%20St%20Henri%20750ML/i/101334614.html,wellcome
27-02-2024,169227,藍冰,藍冰 罐裝啤酒24罐原箱 330 ML,330ML,啤酒,88,88,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E8%97%8D%E5%86%B0%20%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%9224%E7%BD%90%E5%8E%9F%E7%AE%B1%20330%20ML/i/113557319.html,wellcome
27-02-2024,359265,THREE OAKS,THREE OAKS CRUSHED APPLE CIDER 330 ML,330ML,啤酒,10,32,買3送1(加4件入購物車),None,0,https://www.wellcome.com.hk/zh-hant/p/THREE%20OAKS%20CRUSHED%20APPLE%20CIDER%20330%20ML/i/102116291.html,wellcome
27-02-2024,671776,羅遜氏,羅遜氏梅洛紅酒原箱 6 X 750ML,750ML,紅酒,198,582,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%BE%85%E9%81%9C%E6%B0%8F%E6%A2%85%E6%B4%9B%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323753.html,wellcome
27-02-2024,693259,奔富,奔富 BIN 128 切粒子紅酒 750ML,750ML,紅酒,255,350,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%20BIN%20128%20%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%20750ML/i/101361188.html,wellcome
27-02-2024,296509,嘉士伯,嘉士伯金牌啤酒大罐裝 4 X 500ML,500ML,啤酒,52,52,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%98%89%E5%A3%AB%E4%BC%AF%E9%87%91%E7%89%8C%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101333176.html,wellcome
27-02-2024,240234,好卡頓,好卡頓啤酒大罐裝 4 X 500ML,500ML,啤酒,71,71,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%BD%E5%8D%A1%E9%A0%93%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101322282.html,wellcome
27-02-2024,224238,朝日,朝日啤酒大罐裝 4 X 500ML,500ML,啤酒,51,51,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%9C%9D%E6%97%A5%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101347001.html,wellcome
27-02-2024,682856,禾富巴斯,禾富巴斯黃牌系列黑皮諾莎當妮汽酒 750ML,750ML,紅酒,109,109,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%A6%BE%E5%AF%8C%E5%B7%B4%E6%96%AF%E9%BB%83%E7%89%8C%E7%B3%BB%E5%88%97%E9%BB%91%E7%9A%AE%E8%AB%BE%E8%8E%8E%E7%95%B6%E5%A6%AE%E6%B1%BD%E9%85%92%20750ML/i/101339583.html,wellcome
27-02-2024,567040,Stella Artois,Stella Artois 啤酒大罐裝 4 X 500ML,500ML,啤酒,59,59,2件$85,None,0,https://www.wellcome.com.hk/zh-hant/p/Stella%20Artois%20%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101324752.html,wellcome
27-02-2024,174771,格蘭堡,格蘭堡GB系列赤霞珠 750ML,750ML,紅酒,29,75,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%97%E8%B5%A4%E9%9C%9E%E7%8F%A0%20750ML/i/101361515.html,wellcome
27-02-2024,060368,夏迪,夏迪諾丁山莎當妮白酒原箱 6 X 750ML,750ML,白酒,175,456,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A4%8F%E8%BF%AA%E8%AB%BE%E4%B8%81%E5%B1%B1%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323603.html,wellcome
27-02-2024,565838,格蘭堡,格蘭堡水墨系列 赤霞珠紅酒 750ML,750ML,紅酒,130,130,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1%E6%B0%B4%E5%A2%A8%E7%B3%BB%E5%88%97%20%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%20750ML/i/102802816.html,wellcome
27-02-2024,514554,禾富巴斯,禾富巴斯灰牌系列切粒子紅酒 750ML,750ML,紅酒,128,300,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%A6%BE%E5%AF%8C%E5%B7%B4%E6%96%AF%E7%81%B0%E7%89%8C%E7%B3%BB%E5%88%97%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%20750ML/i/101331980.html,wellcome
27-02-2024,153338,巴黎之花,巴黎之花不記年香檳原箱 6 X 750 ML,750ML,香檳,1680,2820,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%B7%B4%E9%BB%8E%E4%B9%8B%E8%8A%B1%E4%B8%8D%E8%A8%98%E5%B9%B4%E9%A6%99%E6%AA%B3%E5%8E%9F%E7%AE%B1%206%20X%20750%20ML/i/113277669.html,wellcome
27-02-2024,504688,格蘭堡,格蘭堡GB系列88赤霞珠紅酒原箱 6 X 750ML,750ML,紅酒,154,396,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%9788%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323623.html,wellcome
27-02-2024,880062,格蘭堡,格蘭堡GB系列56切粒子紅酒原箱 6 X 750ML,750ML,紅酒,154,396,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%9756%E5%88%87%E7%B2%92%E5%AD%90%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323618.html,wellcome
27-02-2024,540294,朝日,朝日啤酒罐裝 24 X 330ML,330ML,啤酒,168,214,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%9C%9D%E6%97%A5%E5%95%A4%E9%85%92%E7%BD%90%E8%A3%9D%2024%20X%20330ML/i/101333514.html,wellcome
27-02-2024,048454,夏迪,夏迪VR莫斯卡托白酒原箱 6 X 750ML,750ML,白酒,178,414,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A4%8F%E8%BF%AAVR%E8%8E%AB%E6%96%AF%E5%8D%A1%E6%89%98%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323548.html,wellcome
27-02-2024,274514,夏迪,夏迪VR梅洛紅酒原箱 6 X 750ML,750ML,紅酒,178,396,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A4%8F%E8%BF%AAVR%E6%A2%85%E6%B4%9B%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323543.html,wellcome
27-02-2024,200808,波瑪酒莊,波瑪酒莊世紀精選佳釀紅酒 750ML,750ML,紅酒,125,125,多重優惠,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%B3%A2%E7%91%AA%E9%85%92%E8%8E%8A%E4%B8%96%E7%B4%80%E7%B2%BE%E9%81%B8%E4%BD%B3%E9%87%80%E7%B4%85%E9%85%92%20750ML/i/101343108.html,wellcome
27-02-2024,224170,菲臘羅富齊,法國菲臘羅富齊武當波爾多紅酒 750ML,750ML,紅酒,158,158,多重優惠,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%B3%95%E5%9C%8B%E8%8F%B2%E8%87%98%E7%BE%85%E5%AF%8C%E9%BD%8A%E6%AD%A6%E7%95%B6%E6%B3%A2%E7%88%BE%E5%A4%9A%E7%B4%85%E9%85%92%20750ML/i/101324877.html,wellcome
27-02-2024,239806,百威,百威啤酒大罐裝 4 X 500ML,500ML,啤酒,42,43,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%99%BE%E5%A8%81%E5%95%A4%E9%85%92%E5%A4%A7%E7%BD%90%E8%A3%9D%204%20X%20500ML/i/101344667.html,wellcome
27-02-2024,342303,奔富冠蘭山系列,奔富冠蘭山系列 莎當妮白酒原箱 6 X 750ML,750ML,紅酒,310,966,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E5%A5%94%E5%AF%8C%E5%86%A0%E8%98%AD%E5%B1%B1%E7%B3%BB%E5%88%97%20%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113438283.html,wellcome
27-02-2024,634147,朝日,朝日啤酒罐裝 12 X 330ML,330ML,啤酒,98,107,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%9C%9D%E6%97%A5%E5%95%A4%E9%85%92%E7%BD%90%E8%A3%9D%2012%20X%20330ML/i/101360939.html,wellcome
27-02-2024,267526,M.Cellars,M.Cellars 蘇維翁白酒原箱 6 X 750ML,750ML,白酒,150,302,None,None,0,https://www.wellcome.com.hk/zh-hant/p/M.Cellars%20%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323648.html,wellcome
27-02-2024,181545,格蘭堡,格蘭堡GB系列沙當妮 750ML,750ML,白酒,29,75,指定分類85折,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%97%E6%B2%99%E7%95%B6%E5%A6%AE%20750ML/i/101361495.html,wellcome
27-02-2024,340851,格蘭堡,格蘭堡GB系列32莎當妮白酒原箱 6 X 750ML,750ML,白酒,154,396,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%9732%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113323643.html,wellcome
27-02-2024,665828,獅威,獅威啤酒罐裝 12 X 330ML,330ML,啤酒,52,59.90,None,None,0,https://www.wellcome.com.hk/zh-hant/p/%E7%8D%85%E5%A8%81%E5%95%A4%E9%85%92%E7%BD%90%E8%A3%9D%2012%20X%20330ML/i/101335682.html,wellcome
