date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
23-02-2024,BP_386126,三得利,三得利 啤酒,350MLX6,啤酒,79.90,79.90,送贈品,已售100,0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_386126,parknshop
23-02-2024,BP_188160,三生牌,三生牌 人參酒,900ML,滋補酒,96.80,125,None,None,0,https://www.pns.hk/zh-hk/%E4%BA%BA%E5%8F%83%E9%85%92/p/BP_188160,parknshop
23-02-2024,BP_385689,JEAN VALESTREL,JEAN VALESTREL 玫瑰酒,75CL,玫瑰酒,89,89,None,None,0,https://www.pns.hk/zh-hk/%E7%8E%AB%E7%91%B0%E9%85%92/p/BP_385689,parknshop
23-02-2024,BP_184625,騎士,騎士 啤酒,330MLX24,啤酒,64.90,64.90,送贈品,已售3k,0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_184625,parknshop
23-02-2024,BP_169169,芳絲亞,芳絲亞 紅酒,3L,紅酒,79,109,$100 / 2件,已售100,0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_169169,parknshop
23-02-2024,BP_168939,波爾多酒窖精選,波爾多酒窖精選 紅酒,75CL,紅酒,69,69,None,None,0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_168939,parknshop
23-02-2024,BP_157829,佳樂事,加州佳樂事 紅酒,1.5L,紅酒,69,69,None,None,0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_157829,parknshop
23-02-2024,BP_137257,必富達,必富達 氈酒,1L,烈酒,228,249,None,None,0,https://www.pns.hk/zh-hk/%E6%B0%88%E9%85%92/p/BP_137257,parknshop
23-02-2024,BP_122353,哥頓,哥頓 氈酒,75CL,烈酒,188,209,None,None,0,https://www.pns.hk/zh-hk/%E6%B0%88%E9%85%92/p/BP_122353,parknshop
23-02-2024,BP_122295,養命,養命 養命酒,1L,日本酒,238,238,None,None,0,https://www.pns.hk/zh-hk/%E9%A4%8A%E5%91%BD%E9%85%92/p/BP_122295,parknshop
23-02-2024,BP_108307,佳樂事,加州佳樂事 紅酒,3L,紅酒,108,119,None,已售400,0,https://www.pns.hk/zh-hk/%E7%B4%85%E9%85%92/p/BP_108307,parknshop
23-02-2024,BP_397525,森堡,森堡 啤酒,500MLX4,啤酒,30.90,30.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E5%95%A4%E9%85%92/p/BP_397525,parknshop
23-02-2024,BP_358303,金崙堡,金崙堡 氈酒,70CL,烈酒,128,128,None,None,0,https://www.pns.hk/zh-hk/%E6%B0%88%E9%85%92/p/BP_358303,parknshop
