date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
24-02-2024,58529,青島,青島清啤 4 X 500ML,500ML,清啤,28.0,36.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9D%92%E5%B3%B6%E6%B8%85%E5%95%A4%204%20X%20500ML/i/101579901.html,wellcome
24-02-2024,885350,麒麟,麒麟一番搾 12 X 330ML,330ML,啤酒,102.0,102.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E9%BA%92%E9%BA%9F%E4%B8%80%E7%95%AA%E6%90%BE%2012%20X%20330ML/i/101339508.html,wellcome
24-02-2024,603225,真露,真露燒酌 360ML,360ML,韓國酒,20.0,20.0,2件$35,,0,https://www.wellcome.com.hk/zh-hant/p/%E7%9C%9F%E9%9C%B2%E7%87%92%E9%85%8C%20360ML/i/101358966.html,wellcome
24-02-2024,253948,月桂冠,月桂冠佳撰清酒紙盒裝 2LT,2LT,日本酒,148.0,148.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E6%9C%88%E6%A1%82%E5%86%A0%E4%BD%B3%E6%92%B0%E6%B8%85%E9%85%92%E7%B4%99%E7%9B%92%E8%A3%9D%202LT/i/101362311.html,wellcome
24-02-2024,498881,真露,真露燒酒 750ML,750ML,韓國酒,20.0,38.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E7%9C%9F%E9%9C%B2%E7%87%92%E9%85%92%20750ML/i/101838277.html,wellcome
24-02-2024,553206,Leffe,Leffe Blonde 啤酒 330ML,330ML,啤酒,19.0,19.0,買3送1(加4件入購物車),,0,https://www.wellcome.com.hk/zh-hant/p/Leffe%20Blonde%20%E5%95%A4%E9%85%92%20330ML/i/101334894.html,wellcome
24-02-2024,468454,博多歌酒莊,博多歌酒莊馬爾堡蘇維翁白酒原箱 6 X 750ML,750ML,白酒,460.0,774.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E5%8D%9A%E5%A4%9A%E6%AD%8C%E9%85%92%E8%8E%8A%E9%A6%AC%E7%88%BE%E5%A0%A1%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92%E5%8E%9F%E7%AE%B1%20%206%20X%20750ML/i/113277724.html,wellcome
24-02-2024,504605,黃尾袋鼠,澳洲黃尾袋鼠赤霞珠紅酒 750ML,750ML,紅酒,88.0,88.0,多重優惠,,0,https://www.wellcome.com.hk/zh-hant/p/%E6%BE%B3%E6%B4%B2%E9%BB%83%E5%B0%BE%E8%A2%8B%E9%BC%A0%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%20750ML/i/101360167.html,wellcome
24-02-2024,822536,富巴斯,富巴斯 Dux Imperial G.R 2014 750ML,750ML,紅酒,155.0,155.0,指定分類85折,,0,https://www.wellcome.com.hk/zh-hant/p/%E5%AF%8C%E5%B7%B4%E6%96%AF%20Dux%20Imperial%20G.R%202014%20750ML/i/102117981.html,wellcome
24-02-2024,246371,雲霧之灣,雲霧之灣黑比諾紅酒 750ML,750ML,紅酒,345.0,345.0,指定分類85折,,0,https://www.wellcome.com.hk/zh-hant/p/%E9%9B%B2%E9%9C%A7%E4%B9%8B%E7%81%A3%E9%BB%91%E6%AF%94%E8%AB%BE%E7%B4%85%E9%85%92%20750ML/i/101334701.html,wellcome
